,Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,Return_Score,log_vol,Liquidity_Score,Composite_Score,MarketCap_B,Daily_Vol_M,ForwardPE,ProfitMargin,ROE,DebtToEquity
75,PACS,13.35,39.51,Established,Pre-2025,"PACS Group, Inc.",2.96,35095022.7412,Healthcare,0.054,17.3736,0.4386,0.1694,6.39,52.31,20.020412,0.03289,21.7,416.688
76,FRGE,14.27,44.45,Established,Pre-2025,"Forge Global Holdings, Inc.",3.11,19314301.5792,Financial Services,0.0713,16.7764,0.3733,0.1619,0.62,8.02,-21.776928,-0.67415,-28.2,2.197
77,ANAB,14.6,44.95,Established,Pre-2025,"ANAPTYSBIO, INC",3.08,19771301.277,Healthcare,0.0678,16.7997,0.3759,0.1602,1.27,24.42,-11.114557,-0.49939,-308.0,
78,TPC,24.76,69.35,Established,Pre-2025,TUTOR PERINI CORP,2.8,33927943.2597,Industrials,0.0356,17.3397,0.4349,0.1554,3.73,25.0,14.12258,-0.00545,2.6,37.739
79,CMPX,1.56,5.17,Established,Pre-2025,"Compass Therapeutics, Inc.",3.31,8879725.9764,Healthcare,0.0943,15.9993,0.2884,0.1525,1.0,8.32,-13.618772,0.0,-37.8,4.707
80,NKTR,16.5,43.42,Established,Pre-2025,NEKTAR THERAPEUTICS,2.63,46284973.2892,Healthcare,0.0161,17.6503,0.4688,0.1519,0.82,24.68,-3.4175804,-1.9286901,-180.2,196.365
81,TNGX,3.15,8.93,Established,Pre-2025,"Tango Therapeutics, Inc.",2.83,26897854.2995,Healthcare,0.0391,17.1076,0.4095,0.1502,1.53,33.32,-8.765424,-1.51148,-51.7,21.723
82,LQDA,12.29,31.4,Established,Pre-2025,Liquidia Corp,2.55,53101870.7458,Healthcare,0.0069,17.7877,0.4838,0.15,2.94,41.38,14.3622675,-1.79282,-187.2,903.238
83,STOK,11.49,30.9,Established,Pre-2025,"Stoke Therapeutics, Inc.",2.69,34614755.2382,Healthcare,0.023,17.3598,0.4371,0.1472,1.9,21.49,-10.526149,0.19728,15.0,1.552
84,JFB,3.5,14.15,IPO,2025-03-06,JFB Construction Holdings,4.04,1196765.0589,Real Estate,0.1782,13.9951,0.0694,0.1455,0.09,0.89,,-0.14066,-34.6,6.234
