#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
5.7864437,18,24.570132
6.152175,18,24.5766
6.5906196,18,24.582846
5.6966696,18,24.589548
5.762048,18,24.598331
6.2888803,18,24.604936
6.9168572,18,24.61126
6.166883,18,24.617565
6.398048,18,24.624003
6.7404838,18,24.630264
6.5632567,18,24.636784
6.5717874,18,24.643238
6.732092,18,25.043459
6.670331,18,25.049692
6.6498694,18,25.056298
6.634052,18,25.062429
6.423605,18,25.068641
6.416355,18,25.075432
6.8109703,18,25.081862
6.114145,18,25.088256
6.7654862,18,25.094417
6.6166544,18,25.100503
6.8923354,18,25.106711
6.46035,18,25.11281
6.5840063,18,25.119024
6.7789083,18,25.127486
6.5940533,18,25.52091
5.994147,18,25.527257
6.469623,18,25.533442
5.6467643,18,25.542517
6.541601,18,25.548695
6.8688235,18,25.555214
6.6405168,18,25.561601
6.1972713,18,25.567905
6.3423963,18,25.574221
6.3409534,18,25.580278
6.700431,18,25.586392
6.1940556,18,25.592758
6.101517,18,25.64983
6.655433,18,25.656409
6.59033,18,26.054246
6.398553,18,26.063322
6.503158,18,26.069759
6.685419,18,26.076409
6.8103256,18,26.082825
6.3464885,18,26.089257
6.4330797,18,26.095463
6.7557707,18,26.101681
6.219354,18,26.108303
6.4067535,18,26.114519
6.4035254,18,26.121013
6.0568624,18,26.127561
6.803227,18,26.133686
6.4817553,18,26.140175
6.525088,18,26.538615
6.6217923,18,26.544773
6.4020348,18,26.550795
5.7886295,18,26.557743
6.4387417,18,26.563996
6.3388762,18,26.570265
6.570096,18,26.576451
6.7064285,18,26.58259
6.6130476,18,26.591612
6.730276,18,26.598097
6.6283836,18,26.604634
6.1041927,18,26.610851
6.9248238,18,26.616963
6.602669,18,26.62365
6.4829507,18,27.013598
6.6674633,18,27.020458
6.7300525,18,27.027103
6.224174,18,27.033226
6.4855075,18,27.039698
6.4766083,18,27.04572
6.5751076,18,27.051734
6.306468,18,27.058204
6.7404075,18,27.064526
6.731558,18,27.070957
6.799617,18,27.077212
6.666877,18,27.083358
6.721524,18,27.089728
6.6856833,18,27.096016
6.4934177,18,27.10232
6.1819816,18,27.496928
5.920684,18,27.503397
6.591909,18,27.509805
6.4445887,18,27.515831
6.6115465,18,27.522188
6.6425896,18,27.528548
6.444657,18,27.537796
7.0086546,18,27.544207
6.2714334,18,27.550473
6.7847376,18,27.556862
6.6285963,18,27.562978
6.4523463,18,27.56915
6.246198,18,27.575566
6.5467224,18,27.581884
6.2250595,18,27.980693
6.617259,18,27.987389
6.657276,18,27.994213
6.6413956,18,28.000529
6.726644,18,28.006944
5.9423575,18,28.013192
6.6071277,18,28.019439
6.6953373,18,28.025642
6.4306636,18,28.031704
6.769683,18,28.038087
6.521058,18,28.044315
6.352818,18,28.050466
6.7276464,18,28.059864
6.376611,18,28.066158
6.9499035,18,28.462995
6.467435,18,28.469718
6.0676293,18,28.47901
6.7134733,18,28.48547
6.8572574,18,28.49214
6.691799,18,28.498501
6.3487916,18,28.504864
6.6225634,18,28.51132
6.7006187,18,28.517395
6.5475593,18,28.523751
6.790531,18,28.530036
6.765716,18,28.53649
6.8586884,18,28.542878
6.5490036,18,28.549062
6.566902,18,28.946053
5.851263,18,28.952657
6.278878,18,28.959335
6.729737,18,28.965716
6.667582,18,28.972085
6.6673675,18,28.978722
6.434634,18,28.984984
6.6706004,18,28.9915
6.7315083,18,29.000307
6.7748632,18,29.007355
6.2598763,18,29.013703
6.763831,18,29.020079
6.27219,18,29.026573
6.5401793,18,29.032786
6.7079434,18,29.039227
6.3873234,18,29.439486
6.537783,18,29.445877
6.7294292,18,29.452314
6.7424498,18,29.458848
6.6434793,18,29.465097
6.6447163,18,29.471617
6.8962164,18,29.477776
6.685366,18,29.483956
6.870254,18,29.490581
6.285893,18,29.54782
6.715394,18,29.554352
6.65541,18,29.560953
6.607075,18,29.567001
6.9153323,18,29.573544
